iter	Passed	Remaining
0	171	171611
1	182	91287
2	190	63210
3	195	48763
4	202	40227
5	208	34499
6	214	30397
7	221	27471
8	227	25039
9	233	23096
10	240	21579
11	245	20240
12	253	19281
13	260	18320
14	265	17459
15	273	16813
16	279	16158
17	286	15614
18	292	15089
19	298	14602
20	304	14206
21	310	13807
22	316	13459
23	323	13150
24	329	12840
25	335	12581
26	341	12315
27	347	12060
28	354	11863
29	360	11644
30	366	11456
31	372	11282
32	379	11114
33	385	10965
34	391	10802
35	397	10647
36	404	10516
37	409	10369
38	415	10249
39	421	10127
40	427	9995
41	433	9898
42	439	9789
43	445	9681
44	452	9604
45	458	9504
46	464	9422
47	470	9337
48	476	9247
49	483	9180
50	489	9102
51	495	9024
52	502	8981
53	510	8940
54	517	8888
55	523	8819
56	529	8754
57	535	8695
58	540	8628
59	547	8576
60	555	8544
61	562	8516
62	572	8521
63	581	8509
64	591	8502
65	600	8496
66	608	8473
67	617	8461
68	625	8436
69	635	8439
70	646	8458
71	656	8463
72	664	8438
73	672	8411
74	678	8370
75	684	8323
76	690	8273
77	696	8236
78	702	8191
79	708	8145
80	716	8126
81	722	8088
82	729	8056
83	735	8016
84	740	7973
85	747	7939
86	752	7900
87	758	7861
88	765	7838
89	771	7802
90	778	7777
91	785	7747
92	790	7712
93	797	7685
94	803	7650
95	810	7628
96	818	7623
97	828	7621
98	837	7619
99	847	7628
100	856	7624
101	865	7619
102	872	7600
103	881	7594
104	889	7581
105	898	7576
106	906	7568
107	915	7562
108	923	7548
109	931	7535
110	938	7517
111	946	7504
112	953	7481
113	964	7493
114	973	7492
115	981	7480
116	988	7462
117	996	7450
118	1003	7430
119	1012	7425
120	1023	7434
121	1032	7432
122	1042	7434
123	1052	7436
124	1060	7425
125	1073	7446
126	1082	7442
127	1090	7432
128	1100	7427
129	1109	7422
130	1117	7415
131	1128	7417
132	1137	7412
133	1145	7400
134	1152	7382
135	1160	7373
136	1167	7356
137	1177	7352
138	1184	7336
139	1194	7334
140	1202	7326
141	1210	7312
142	1217	7297
143	1225	7284
144	1232	7266
145	1239	7248
146	1244	7224
147	1250	7199
148	1257	7181
149	1262	7156
150	1269	7137
151	1275	7115
152	1281	7091
153	1288	7077
154	1294	7056
155	1300	7034
156	1307	7018
157	1312	6994
158	1320	6983
159	1329	6978
160	1339	6982
161	1349	6983
162	1361	6991
163	1370	6984
164	1378	6975
165	1385	6963
166	1395	6958
167	1403	6953
168	1411	6939
169	1418	6924
170	1425	6909
171	1431	6893
172	1439	6880
173	1447	6870
174	1455	6860
175	1463	6851
176	1474	6854
177	1482	6844
178	1489	6832
179	1496	6817
180	1504	6808
181	1513	6801
182	1523	6799
183	1532	6798
184	1542	6797
185	1551	6791
186	1559	6778
187	1565	6761
188	1572	6749
189	1579	6733
190	1587	6722
191	1592	6703
192	1599	6687
193	1605	6670
194	1611	6651
195	1617	6636
196	1623	6617
197	1629	6601
198	1639	6597
199	1648	6592
200	1656	6586
201	1666	6581
202	1674	6576
203	1682	6565
204	1689	6552
205	1696	6539
206	1703	6525
207	1709	6510
208	1717	6501
209	1724	6488
210	1732	6479
211	1739	6465
212	1747	6454
213	1755	6447
214	1765	6446
215	1774	6440
216	1786	6445
217	1794	6438
218	1804	6436
219	1823	6466
220	1838	6481
221	1851	6487
222	1860	6483
223	1873	6488
224	1879	6474
225	1885	6457
226	1891	6442
227	1898	6429
228	1904	6411
229	1911	6397
230	1919	6391
231	1928	6382
232	1935	6371
233	1943	6362
234	1951	6354
235	1959	6344
236	1967	6334
237	1973	6319
238	1981	6308
239	1987	6293
240	1995	6283
241	2001	6267
242	2007	6252
243	2014	6241
244	2020	6225
245	2026	6211
246	2032	6197
247	2038	6181
248	2045	6170
249	2052	6156
250	2059	6144
251	2066	6134
252	2075	6128
253	2083	6119
254	2091	6111
255	2099	6102
256	2107	6093
257	2115	6082
258	2121	6069
259	2129	6060
260	2135	6046
261	2142	6035
262	2148	6020
263	2155	6009
264	2163	6000
265	2170	5988
266	2177	5977
267	2183	5964
268	2190	5952
269	2196	5939
270	2202	5925
271	2210	5916
272	2216	5902
273	2222	5890
274	2229	5878
275	2235	5864
276	2242	5853
277	2248	5840
278	2255	5828
279	2261	5814
